run_id,biosample_id,sample_id
SRR16632095,SAMN22305148,PA097
SRR16632096,SAMN22305147,PA096
SRR16632097,SAMN22305146,PA095
SRR16632098,SAMN22305144,PA093
SRR16632099,SAMN22305143,PA092
SRR16632100,SAMN22305142,PA091
SRR16632101,SAMN22305061,PA010
SRR16632102,SAMN22305141,PA090
SRR16632103,SAMN22305140,PA089
SRR16632104,SAMN22305139,PA088
SRR16632105,SAMN22305138,PA087
SRR16632106,SAMN22305137,PA086
SRR16632107,SAMN22305136,PA085
SRR16632108,SAMN22305135,PA084
SRR16632109,SAMN22305134,PA083
SRR16632110,SAMN22305133,PA082
SRR16632111,SAMN22305132,PA081
SRR16632112,SAMN22305060,PA009
SRR16632113,SAMN22305131,PA080
SRR16632114,SAMN22305130,PA079
SRR16632115,SAMN22305129,PA078
SRR16632116,SAMN22305128,PA077
SRR16632117,SAMN22305127,PA076
SRR16632118,SAMN22305126,PA075
SRR16632119,SAMN22305125,PA074
SRR16632120,SAMN22305124,PA073
SRR16632121,SAMN22305123,PA072
SRR16632122,SAMN22305122,PA071
SRR16632123,SAMN22305059,PA008
SRR16632125,SAMN22305120,PA069
SRR16632126,SAMN22305119,PA068
SRR16632127,SAMN22305118,PA067
SRR16632128,SAMN22305117,PA066
SRR16632129,SAMN22305116,PA065
SRR16632130,SAMN22305115,PA064
SRR16632131,SAMN22305114,PA063
SRR16632132,SAMN22305113,PA062
SRR16632133,SAMN22305112,PA061
SRR16632134,SAMN22305058,PA007
SRR16632135,SAMN22305111,PA060
SRR16632136,SAMN22305110,PA059
SRR16632137,SAMN22305109,PA058
SRR16632138,SAMN22305108,PA057
SRR16632139,SAMN22305107,PA056
SRR16632140,SAMN22305106,PA055
SRR16632141,SAMN22305105,PA054
SRR16632142,SAMN22305104,PA053
SRR16632143,SAMN22305103,PA052
SRR16632144,SAMN22305102,PA051
SRR16632145,SAMN22305057,PA006
SRR16632146,SAMN22305101,PA050
SRR16632147,SAMN22305100,PA049
SRR16632148,SAMN22305099,PA048
SRR16632149,SAMN22305098,PA047
SRR16632150,SAMN22305097,PA046
SRR16632152,SAMN22305095,PA044
SRR16632153,SAMN22305094,PA043
SRR16632154,SAMN22305093,PA042
SRR16632155,SAMN22305092,PA041
SRR16632156,SAMN22305056,PA005
SRR16632157,SAMN22305091,PA040
SRR16632158,SAMN22305090,PA039
SRR16632159,SAMN22305089,PA038
SRR16632160,SAMN22305088,PA037
SRR16632161,SAMN22305087,PA036
SRR16632162,SAMN22305086,PA035
SRR16632163,SAMN22305085,PA034
SRR16632165,SAMN22305083,PA032
SRR16632166,SAMN22305082,PA031
SRR16632167,SAMN22305055,PA004
SRR16632168,SAMN22305081,PA030
SRR16632169,SAMN22305080,PA029
SRR16632170,SAMN22305079,PA028
SRR16632171,SAMN22305078,PA027
SRR16632172,SAMN22305077,PA026
SRR16632173,SAMN22305076,PA025
SRR16632174,SAMN22305075,PA024
SRR16632175,SAMN22305074,PA023
SRR16632176,SAMN22305073,PA022
SRR16632177,SAMN22305072,PA021
SRR16632178,SAMN22305054,PA003
SRR16632179,SAMN22305071,PA020
SRR16632180,SAMN22305070,PA019
SRR16632181,SAMN22305069,PA018
SRR16632182,SAMN22305068,PA017
SRR16632183,SAMN22305067,PA016
SRR16632184,SAMN22305066,PA015
SRR16632185,SAMN22305065,PA014
SRR16632186,SAMN22305064,PA013
SRR16632187,SAMN22305063,PA012
SRR16632188,SAMN22305062,PA011
SRR16632189,SAMN22305053,PA002
SRR16632190,SAMN22305052,PA001
